,Mes,Año,Total,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion ,Efectividad de Leads
0,Enero,2024.0,0.0,0,0,0,0.0,0.0,0,0,0.0,61.6
1,Febrero,2024.0,543.0,108,33,0,1.0,389.0,1,12,3.1,72.0
2,Marzo,2024.0,178.0,37,13,0,0.0,128.0,1,7,5.5,72.0
3,Abril,2024.0,416.0,79,46,3,0.0,288.0,1,8,2.8,69.0
4,Mayo,2024.0,422.0,33,100,17,0.0,274.0,5,13,4.7,65.0
5,Junio,2024.0,967.0,140,173,31,3.0,620.0,17,6,1.0,64.0
6,Julio,2024.0,954.0,112,251,12,9.0,570.0,5,21,3.7,60.0
7,Agosto,2024.0,1409.0,504,324,17,18.0,546.0,22,17,3.1,39.0
8,Septiembre,2024.0,1315.0,431,314,14,26.0,530.0,42,17,3.2,40.0
9,Octubre,2024.0,1973.0,514,606,18,13.0,822.0,72,23,2.8,42.0
10,Noviembre,2024.0,1562.0,153,321,44,4.0,1040.0,79,22,2.1,67.0
11,Diciembre,2024.0,1282.0,374,193,60,53.0,965.0,330,32,3.3,75.0
12,Enero ,2025.0,1042.0,17,104,62,29.0,723.0,222,26,3.6,69.0
13,Febrero,2025.0,561.0,9,39,14,31.0,468.0,150,20,4.3,83.0
14,Marzo ,2025.0,925.0,39,98,3,54.0,731.0,125,30,4.1,79.0
15,Abril ,2025.0,1149.0,51,134,8,84.0,872.0,141,30,3.4,76.0
16,Mayo ,2025.0,815.0,5,75,2,14.0,574.0,179,34,5.9,70.0
17,Junio,2025.0,1083.0,62,266,5,56.0,694.0,315,40,5.8,64.0
18,Julio ,2025.0,1358.0,128,241,3,93.0,893.0,290,36,4.0,66.0
19,Agosto,2025.0,1419.0,81,591,7,59.0,681.0,338,27,4.0,48.0
20,Septiembre,2025.0,1100.0,32,401,9,18.0,660.0,229,38,5.8,60.0
21,Octubre ,2025.0,1192.0,67,413,0,17.0,695.0,288,40,5.8,58.0
22,Noviembre,2025.0,1061.0,46,218,1,52.0,744.0,488,41,5.5,70.0
23,Diciembre,2025.0,1534.0,125,194,34,44.0,729.0,823,34,4.7,48.0
24,Enero ,2026.0,1516.0,148,187,52,53.0,714.0,602,37,5.2,47.0
25,Febrero,2026.0,1235.0,116,106,8,31.0,730.0,523,30,4.1,59.0
26,Marzo ,2026.0,1785.0,228,184,48,32.0,944.0,698,38,4.0,53.0
27,Abril ,2026.0,1393.0,212,123,38,28.0,724.0,559,41,5.7,52.0
28,Mayo ,2026.0,1251.0,158,116,25,19.0,736.0,458,35,4.8,59.0
